Gene,Cell,Log2FoldChange_5to70,P_value_5to70,-log10(P_value)_5to70
Arl5,ensheathing glial cell,-0.25608066,1.0,-0.0
Arl6,ensheathing glial cell,-1.0158488,1.0,-0.0
Arl6IP1,ensheathing glial cell,-0.37397343,1.0,-0.0
Arl8,ensheathing glial cell,0.6093608,1.0,-0.0
Arp1,ensheathing glial cell,-0.6849761,1.0,-0.0
Arp10,ensheathing glial cell,-0.28416714,1.0,-0.0
Arp2,ensheathing glial cell,0.530329,1.0,-0.0
Arp3,ensheathing glial cell,0.10052879,1.0,-0.0
Arp5,ensheathing glial cell,0.90867144,1.0,-0.0
Arp53D,ensheathing glial cell,0.0,1.0,-0.0
Arp6,ensheathing glial cell,-0.76711255,1.0,-0.0
Arp8,ensheathing glial cell,0.64474076,1.0,-0.0
Arpc1,ensheathing glial cell,-0.5124554,1.0,-0.0
Arpc2,ensheathing glial cell,0.7139232,1.0,-0.0
Arpc3A,ensheathing glial cell,-0.34593698,1.0,-0.0
Arpc3B,ensheathing glial cell,19.027649,1.0,-0.0
Arpc4,ensheathing glial cell,-1.0390772,1.0,-0.0
Arpc5,ensheathing glial cell,-0.9828343,1.0,-0.0
Arr1,ensheathing glial cell,-2.5795784,1.7706017965807894e-81,80.75187909944954
Arr2,ensheathing glial cell,-2.3828135,7.452832782154806e-125,124.12767862284625
Ars2,ensheathing glial cell,0.3325667,0.34597302297083476,0.4609577637264882
Art1,ensheathing glial cell,-0.14092691,1.0,-0.0
Art2,ensheathing glial cell,-0.73306674,1.0,-0.0
Art3,ensheathing glial cell,-0.565586,1.0,-0.0
Art4,ensheathing glial cell,0.94726944,1.0,-0.0
Art6,ensheathing glial cell,0.0,1.0,-0.0
Art7,ensheathing glial cell,0.7919942,1.0,-0.0
Art8,ensheathing glial cell,1.0660532,1.0,-0.0
Art9,ensheathing glial cell,0.0,1.0,-0.0
Arts,ensheathing glial cell,2.983616,1.0,-0.0
Arv1,ensheathing glial cell,-0.17791189,1.0,-0.0
Asap,ensheathing glial cell,0.9034638,0.015472662261755915,1.8104349541665292
Asator,ensheathing glial cell,0.56947494,0.40169794223579186,0.3961003930080091
Asciz,ensheathing glial cell,0.699105,1.0,-0.0
Ask1,ensheathing glial cell,0.27712345,1.0,-0.0
AsnRS,ensheathing glial cell,0.07865312,1.0,-0.0
AsnRS-m,ensheathing glial cell,21.818644,1.0,-0.0
AsnS,ensheathing glial cell,-1.2031912,1.0,-0.0
AspRS,ensheathing glial cell,-0.01981959,1.0,-0.0
AspRS-m,ensheathing glial cell,0.47481394,1.0,-0.0
Asph,ensheathing glial cell,0.27576748,1.0,-0.0
Ass,ensheathing glial cell,0.19302137,1.0,-0.0
AstA,ensheathing glial cell,-1.5380888,1.0,-0.0
AstA-R1,ensheathing glial cell,1.1756113,0.38787414459692776,0.4113091691834626
AstA-R2,ensheathing glial cell,18.86644,1.0,-0.0
AstC,ensheathing glial cell,-0.6342539,1.0,-0.0
AstC-R1,ensheathing glial cell,0.7775676,1.0,-0.0
AstC-R2,ensheathing glial cell,0.20649011,1.0,-0.0
AstCC,ensheathing glial cell,19.053757,1.0,-0.0
Asx,ensheathing glial cell,0.7918872,0.3652366984861653,0.43742559162706723
Atac1,ensheathing glial cell,0.11456561,1.0,-0.0
Atac2,ensheathing glial cell,0.98423046,1.0,-0.0
Atac3,ensheathing glial cell,0.32290632,1.0,-0.0
Ate1,ensheathing glial cell,0.18989314,1.0,-0.0
Atet,ensheathing glial cell,0.4792739,0.19177151756964253,0.7172158949801907
Atf-2,ensheathing glial cell,0.6427498,1.0,-0.0
Atf3,ensheathing glial cell,0.021632854,1.0,-0.0
Atf6,ensheathing glial cell,0.8717283,1.6025538860025588e-08,7.795187358376942
